Date,Nature,eurusd_before,eurusd_after,gb03_2_last_before,gb03_2_last_after,gb06_2_last_before,gb06_2_last_after,gt03_2_last_before,gt03_2_last_after,tot_spx_before,tot_spx_after,gt10_2_last_before,gt10_2_last_after,gt05_2_last_before,gt05_2_last_after,gb12_2_last_before,gb12_2_last_after,tech_ndx_before,tech_ndx_after
2020-07-28,,1.1752,1.1716,0.099,0.105,0.131,0.118,0.179,0.163,3239.41,3218.44,0.616,0.58,0.286,0.265,0.141,0.127,10674.38,10532.5
2020-08-27,Notation Vote,1.183,1.1822,0.096,0.1,0.111,0.109,0.176,0.192,3478.73,3484.55,0.689,0.753,0.286,0.314,0.123,0.123,11971.94,11926.16
2020-09-15,,1.1866,1.1847,0.106,0.105,0.117,0.115,0.16,0.164,3383.54,3401.2,0.674,0.681,0.265,0.273,0.131,0.128,11277.76,11438.87
2020-11-04,,1.1715,1.1726,0.094,0.089,0.109,0.098,0.212,0.185,3369.16,3443.44,0.9,0.765,0.396,0.329,0.119,0.122,11279.91,11777.02
2020-12-15,,1.2144,1.2151,0.067,0.071,0.079,0.076,0.171,0.173,3647.49,3694.62,0.894,0.91,0.358,0.365,0.084,0.086,12462.21,12595.92
2021-01-26,,1.2139,1.216,0.074,0.067,0.085,0.08,0.174,0.179,3855.36,3849.62,1.031,1.036,0.403,0.409,0.091,0.088,13483.29,13490.19
2021-03-16,,1.1929,1.1903,0.019,0.016,0.043,0.048,0.335,0.337,3968.94,3962.71,1.606,1.62,0.828,0.83,0.07,0.071,13082.54,13152.28
2021-04-27,,1.2086,1.2091,0.013,0.009,0.028,0.033,0.342,0.358,4187.62,4186.72,1.568,1.623,0.83,0.882,0.058,0.053,14026.16,13960.28
2021-06-15,,1.212,1.2126,0.018,0.018,0.033,0.038,0.333,0.335,4255.15,4246.59,1.496,1.493,0.784,0.781,0.048,0.058,14128.2,14030.41
2021-07-27,,1.1803,1.1817,0.043,0.044,0.048,0.048,0.379,0.363,4422.3,4401.46,1.291,1.243,0.723,0.7,0.068,0.067,15125.95,14956.97
2021-09-21,,1.1726,1.1726,0.028,0.022,0.043,0.037,0.458,0.456,4357.73,4354.19,1.312,1.324,0.825,0.831,0.066,0.067,15012.19,15027.77
2021-11-02,,1.1606,1.1579,0.047,0.048,0.062,0.068,0.763,0.718,4613.67,4630.65,1.557,1.551,1.178,1.149,0.121,0.124,15905.28,15972.49
2021-12-14,,1.1284,1.1259,0.053,0.047,0.12,0.124,0.951,0.975,4668.97,4634.09,1.417,1.443,1.205,1.237,0.244,0.246,16082.55,15914.9
2022-01-25,,1.1326,1.1301,0.164,0.189,0.35,0.383,1.258,1.266,4410.13,4356.45,1.772,1.771,1.548,1.555,0.56,0.596,14509.58,14149.12
2022-03-15,,1.094,1.0956,0.397,0.463,0.796,0.844,2.05,2.05,4173.11,4262.45,2.135,2.146,2.092,2.107,1.227,1.204,13046.64,13458.56
2022-05-03,,1.0507,1.0521,0.787,0.912,1.402,1.431,2.935,2.969,4155.38,4175.48,2.985,2.975,3.006,3.023,2.057,2.111,13075.85,13089.9
2022-06-14,,1.0409,1.0416,1.6,1.776,2.272,2.394,3.488,3.593,3749.63,3735.48,3.365,3.476,3.483,3.591,2.97,3.006,11288.32,11311.69
2022-07-26,,1.022,1.0117,2.472,2.51,2.957,2.946,2.969,3.008,3966.84,3921.05,2.798,2.809,2.882,2.904,3.027,3.039,12328.41,12086.9
2022-09-20,,1.0024,0.9971,3.152,3.249,3.856,3.832,3.893,3.938,3899.89,3855.93,3.491,3.564,3.684,3.747,4.029,4.017,11953.27,11851.54
2022-11-01,,0.9882,0.9877,4.074,4.126,4.544,4.598,4.442,4.499,3871.98,3856.1,4.05,4.044,4.23,4.269,4.636,4.649,11405.57,11288.95
2022-12-13,,1.0537,1.0633,4.276,4.338,4.759,4.685,4.138,3.947,3990.56,4019.65,3.613,3.503,3.79,3.652,4.732,4.615,11706.44,11834.21
2023-01-31,,1.0851,1.0863,4.657,4.665,4.777,4.825,3.947,3.901,4017.77,4076.6,3.539,3.511,3.663,3.618,4.696,4.673,11912.39,12101.93
2023-03-21,,1.0721,1.0768,4.589,4.669,4.785,4.912,3.816,3.984,3951.57,4002.87,3.488,3.612,3.591,3.75,4.358,4.593,12562.61,12741.44
2023-05-02,,1.0976,1.0999,5.022,5.145,5.079,4.969,3.865,3.679,4167.87,4119.58,3.57,3.427,3.635,3.449,4.864,4.745,13231.47,13113.66
2023-06-13,,1.0757,1.0793,5.226,5.217,5.36,5.342,4.226,4.282,4338.93,4369.01,3.739,3.816,3.895,3.992,5.209,5.227,14784.3,14900.85
2023-07-25,,1.1064,1.1055,5.417,5.422,5.483,5.463,4.512,4.529,4554.64,4567.46,3.874,3.887,4.153,4.168,5.379,5.384,15448.02,15561.42
2023-09-19,,1.0692,1.0679,5.46,5.448,5.523,5.511,4.728,4.779,4453.53,4443.95,4.304,4.36,4.45,4.512,5.433,5.447,15225.37,15191.23
2023-10-31,,1.0615,1.0575,5.458,5.469,5.55,5.57,4.895,4.927,4166.82,4193.8,4.895,4.932,4.824,4.855,5.429,5.46,14335.51,14409.78
2023-12-12,,1.0765,1.0794,5.391,5.389,5.399,5.367,4.458,4.427,4622.44,4643.7,4.234,4.202,4.247,4.221,5.126,5.131,16221.73,16354.25
2024-01-30,,1.0833,1.0845,5.361,5.36,5.21,5.204,4.111,4.12,4927.93,4924.97,4.075,4.033,3.983,3.97,4.762,4.79,17596.27,17476.71
2024-03-19,,1.0872,1.0866,5.395,5.385,5.339,5.337,4.519,4.471,5149.42,5178.51,4.325,4.294,4.343,4.298,5.084,5.092,17985.01,18032.21
